2016-04-04 23:36:41,735 - INFO - 1411:Dummy-1 - zato_scheduler:22 - Job scheduled `zato.server.cluster-wide-singleton-keep-alive` (interval_based, start: 2016-04-04 21:37:11.735008 UTC)
2016-04-04 23:37:12,383 - INFO - 1411:Dummy-14 - zato_scheduler:22 - Job executed `zato.server.cluster-wide-singleton-keep-alive`, `{u'interval_in_seconds': 30.0, u'name': u'zato.server.cluster-wide-singleton-keep-alive', u'current_run': 1, u'cid': u'K056AE118E1QZ0A2T8N51H0S6TYN', u'start_time': '2016-04-04T21:37:11.735008', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.server.cluster-wide-singleton-keep-alive', u'extra': u'server_id:2;cluster_id:1'}, u'type': u'interval_based', u'id': 0}`
2016-04-04 23:37:12,413 - INFO - 1411:Dummy-15 - zato_scheduler:22 - Job executed `zato.server.cluster-wide-singleton-keep-alive`, `{u'interval_in_seconds': 30.0, u'name': u'zato.server.cluster-wide-singleton-keep-alive', u'current_run': 2, u'cid': u'K0754C9S27MZZZBVVSF0RB8T5Y89', u'start_time': '2016-04-04T21:37:11.735008', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.server.cluster-wide-singleton-keep-alive', u'extra': u'server_id:2;cluster_id:1'}, u'type': u'interval_based', u'id': 0}`
2016-04-04 23:37:29,427 - INFO - 1411:Dummy-17 - zato_scheduler:22 - Job executed `zato.stats.aggregate-by-minute`, `{u'interval_in_seconds': 60.0, u'name': u'zato.stats.aggregate-by-minute', u'current_run': 1, u'cid': u'K04ADR10MPEMVPFHA1DQQ9QHQFJG', u'start_time': '2016-04-04T21:37:28.748768', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.stats.aggregate-by-minute', u'extra': ''}, u'type': u'interval_based', u'id': 2}`
2016-04-04 23:37:42,386 - INFO - 1411:Dummy-18 - zato_scheduler:22 - Job executed `zato.server.cluster-wide-singleton-keep-alive`, `{u'interval_in_seconds': 30.0, u'name': u'zato.server.cluster-wide-singleton-keep-alive', u'current_run': 3, u'cid': u'K04CBGBPYKTZZ37ZZHN2KHBVDNDH', u'start_time': '2016-04-04T21:37:11.735008', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.server.cluster-wide-singleton-keep-alive', u'extra': u'server_id:2;cluster_id:1'}, u'type': u'interval_based', u'id': 0}`
2016-04-04 23:37:42,414 - INFO - 1411:Dummy-19 - zato_scheduler:22 - Job executed `zato.server.cluster-wide-singleton-keep-alive`, `{u'interval_in_seconds': 30.0, u'name': u'zato.server.cluster-wide-singleton-keep-alive', u'current_run': 4, u'cid': u'K0685Q66PMCB3QAW404MPRSA8N9Q', u'start_time': '2016-04-04T21:37:11.735008', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.server.cluster-wide-singleton-keep-alive', u'extra': u'server_id:2;cluster_id:1'}, u'type': u'interval_based', u'id': 0}`
2016-04-04 23:37:59,447 - INFO - 1411:Dummy-21 - zato_scheduler:22 - Job executed `zato.stats.process-raw-times`, `{u'interval_in_seconds': 90.0, u'name': u'zato.stats.process-raw-times', u'current_run': 1, u'cid': u'K05FW1K9A8TBWB6P41MN6AX0JSZC', u'start_time': '2016-04-04T21:37:58.697253', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.stats.process-raw-times', u'extra': 'max_batch_size=99999'}, u'type': u'interval_based', u'id': 1}`
2016-04-04 23:38:12,386 - INFO - 1411:Dummy-22 - zato_scheduler:22 - Job executed `zato.server.cluster-wide-singleton-keep-alive`, `{u'interval_in_seconds': 30.0, u'name': u'zato.server.cluster-wide-singleton-keep-alive', u'current_run': 5, u'cid': u'K04C5ZJ1S5KFXYZWS8K8NXA5CDZ3', u'start_time': '2016-04-04T21:37:11.735008', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.server.cluster-wide-singleton-keep-alive', u'extra': u'server_id:2;cluster_id:1'}, u'type': u'interval_based', u'id': 0}`
2016-04-04 23:38:12,414 - INFO - 1411:Dummy-23 - zato_scheduler:22 - Job executed `zato.server.cluster-wide-singleton-keep-alive`, `{u'interval_in_seconds': 30.0, u'name': u'zato.server.cluster-wide-singleton-keep-alive', u'current_run': 6, u'cid': u'K061GH328K2B2T30GT1M33NZSHBD', u'start_time': '2016-04-04T21:37:11.735008', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.server.cluster-wide-singleton-keep-alive', u'extra': u'server_id:2;cluster_id:1'}, u'type': u'interval_based', u'id': 0}`
2016-04-04 23:38:29,430 - INFO - 1411:Dummy-25 - zato_scheduler:22 - Job executed `zato.stats.aggregate-by-minute`, `{u'interval_in_seconds': 60.0, u'name': u'zato.stats.aggregate-by-minute', u'current_run': 2, u'cid': u'K07CDBJKZ74KZ20DB5WVXNZ3TDX4', u'start_time': '2016-04-04T21:37:28.748768', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.stats.aggregate-by-minute', u'extra': ''}, u'type': u'interval_based', u'id': 2}`
2016-04-04 23:38:42,387 - INFO - 1411:Dummy-26 - zato_scheduler:22 - Job executed `zato.server.cluster-wide-singleton-keep-alive`, `{u'interval_in_seconds': 30.0, u'name': u'zato.server.cluster-wide-singleton-keep-alive', u'current_run': 7, u'cid': u'K05GNH8GVSMQ4XV3FWXBQB1AA98D', u'start_time': '2016-04-04T21:37:11.735008', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.server.cluster-wide-singleton-keep-alive', u'extra': u'server_id:2;cluster_id:1'}, u'type': u'interval_based', u'id': 0}`
2016-04-04 23:38:42,415 - INFO - 1411:Dummy-27 - zato_scheduler:22 - Job executed `zato.server.cluster-wide-singleton-keep-alive`, `{u'interval_in_seconds': 30.0, u'name': u'zato.server.cluster-wide-singleton-keep-alive', u'current_run': 8, u'cid': u'K04HGQJS0MBV39G8KSVTDFVCZTFX', u'start_time': '2016-04-04T21:37:11.735008', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.server.cluster-wide-singleton-keep-alive', u'extra': u'server_id:2;cluster_id:1'}, u'type': u'interval_based', u'id': 0}`
